timestamp,utilization_gpu_percent,memory_used_mib,memory_total_mib,temperature_c,power_w
2026/09/13 10:59:11.357, 98, 4201, 8188, 73, 58.40
2026/09/13 10:59:41.417, 98, 4267, 8188, 73, 50.21
2026/09/13 11:00:11.481, 95, 4267, 8188, 73, 55.08
2026/09/13 11:00:41.540, 97, 4255, 8188, 73, 55.52
2026/09/13 11:01:11.597, 99, 4255, 8188, 73, 53.16
2026/09/13 11:01:41.661, 97, 4255, 8188, 73, 53.15
2026/09/13 11:02:11.729, 98, 4255, 8188, 73, 55.88
2026/09/13 11:02:41.797, 97, 4255, 8188, 72, 52.01
2026/09/13 11:03:11.871, 94, 4253, 8188, 73, 56.52
2026/09/13 11:03:41.935, 97, 4253, 8188, 73, 57.58
2026/09/13 11:04:12.017, 96, 4253, 8188, 73, 53.84
2026/09/13 11:04:42.084, 96, 4267, 8188, 72, 55.08
2026/09/13 11:05:12.143, 97, 4267, 8188, 74, 54.73
2026/09/13 11:05:42.208, 97, 4199, 8188, 73, 51.69
2026/09/13 11:06:12.272, 97, 4201, 8188, 73, 55.18
2026/09/13 11:06:42.344, 98, 4201, 8188, 73, 52.45
2026/09/13 11:07:12.408, 97, 4199, 8188, 74, 53.51
2026/09/13 11:07:42.471, 97, 4201, 8188, 73, 53.22
2026/09/13 11:08:12.532, 97, 4233, 8188, 73, 55.59
2026/09/13 11:08:42.597, 97, 4235, 8188, 72, 55.47
2026/09/13 11:09:12.656, 83, 2627, 8188, 72, 53.04
2026/09/13 11:09:42.726, 87, 4255, 8188, 73, 46.83
2026/09/13 11:10:12.793, 98, 4255, 8188, 73, 50.79
2026/09/13 11:10:42.850, 97, 4259, 8188, 73, 51.36
2026/09/13 11:11:12.916, 99, 4261, 8188, 72, 49.75
2026/09/13 11:11:42.973, 98, 4241, 8188, 72, 53.61
2026/09/13 11:12:13.048, 96, 4241, 8188, 72, 58.19
2026/09/13 11:12:43.105, 96, 4241, 8188, 73, 56.62
2026/09/13 11:13:13.171, 85, 4253, 8188, 72, 55.15
2026/09/13 11:13:43.235, 96, 4255, 8188, 73, 55.17
2026/09/13 11:14:13.287, 85, 4247, 8188, 72, 49.92
2026/09/13 11:14:43.352, 97, 4247, 8188, 73, 53.62
2026/09/13 11:15:13.402, 99, 4247, 8188, 73, 55.71
2026/09/13 11:15:43.473, 96, 4259, 8188, 71, 55.28
2026/09/13 11:16:13.542, 87, 4259, 8188, 73, 49.74
2026/09/13 11:16:43.606, 97, 4199, 8188, 73, 55.57
2026/09/13 11:17:13.659, 95, 4199, 8188, 73, 53.78
2026/09/13 11:17:43.723, 95, 4201, 8188, 73, 55.35
2026/09/13 11:18:13.783, 98, 4257, 8188, 73, 55.68
2026/09/13 11:18:43.854, 97, 4257, 8188, 71, 55.13
2026/09/13 11:19:13.907, 85, 4255, 8188, 73, 47.49
2026/09/13 11:19:43.961, 95, 4255, 8188, 74, 57.39
2026/09/13 11:20:14.024, 99, 4255, 8188, 72, 51.96
2026/09/13 11:20:44.077, 95, 4253, 8188, 73, 53.42
2026/09/13 11:21:14.149, 87, 4255, 8188, 73, 47.76
2026/09/13 11:21:44.217, 98, 4199, 8188, 74, 57.30
2026/09/13 11:22:14.274, 98, 4201, 8188, 74, 54.05
2026/09/13 11:22:44.348, 95, 4201, 8188, 74, 59.85
2026/09/13 11:23:14.415, 99, 4255, 8188, 74, 46.85
2026/09/13 11:23:44.473, 94, 4255, 8188, 73, 63.05
2026/09/13 11:24:14.538, 77, 4201, 8188, 73, 30.07
2026/09/13 11:24:44.604, 97, 4201, 8188, 74, 53.68
2026/09/13 11:25:14.692, 96, 4201, 8188, 73, 53.90
2026/09/13 11:25:44.751, 100, 4257, 8188, 74, 48.69
2026/09/13 11:26:14.816, 96, 4259, 8188, 74, 52.17
2026/09/13 11:26:44.869, 97, 4233, 8188, 73, 47.44
2026/09/13 11:27:14.940, 95, 4235, 8188, 73, 70.39
2026/09/13 11:27:45.000, 98, 4235, 8188, 74, 52.13
2026/09/13 11:28:15.055, 97, 4257, 8188, 73, 59.06
2026/09/13 11:28:45.124, 93, 4259, 8188, 73, 53.30
