timestamp,utilization_gpu_percent,memory_used_mb,memory_total_mb,temperature_c,power_w
2026/09/12 00:23:34.915, 95, 4057, 8188, 62, 44.99
2026/09/12 00:24:04.997, 64, 4057, 8188, 67, 34.88
2026/09/12 00:24:35.056, 96, 4057, 8188, 68, 45.01
2026/09/12 00:25:05.119, 81, 4057, 8188, 69, 44.13
2026/09/12 00:25:35.189, 34, 587, 8188, 72, 39.35
2026/09/12 00:26:05.250, 0, 229, 8188, 60, 1.60
2026/09/12 00:26:35.306, 5, 1371, 8188, 65, 41.83
2026/09/12 00:27:05.365, 94, 1371, 8188, 70, 42.77
2026/09/12 00:27:35.425, 0, 221, 8188, 59, 1.54
2026/09/12 00:28:05.486, 89, 991, 8188, 61, 42.43
2026/09/12 00:28:35.558, 68, 1223, 8188, 67, 43.05
2026/09/12 00:29:05.629, 96, 1223, 8188, 71, 43.23
2026/09/12 00:29:35.710, 5, 227, 8188, 64, 7.05
2026/09/12 00:30:05.775, 0, 243, 8188, 58, 1.52
2026/09/12 00:30:35.839, 0, 225, 8188, 55, 1.63
2026/09/12 00:31:05.908, 0, 1479, 8188, 54, 4.20
2026/09/12 00:31:35.994, 88, 1911, 8188, 61, 38.81
2026/09/12 00:32:06.073, 99, 1911, 8188, 66, 39.50
2026/09/12 00:32:36.134, 0, 215, 8188, 60, 1.57
2026/09/12 00:33:06.193, 0, 3647, 8188, 55, 1.52
2026/09/12 00:33:36.256, 43, 4295, 8188, 62, 32.21
2026/09/12 00:34:06.337, 0, 4295, 8188, 64, 23.40
2026/09/12 00:34:36.416, 99, 4295, 8188, 67, 49.28
2026/09/12 00:35:06.505, 63, 319, 8188, 65, 13.84
2026/09/12 00:40:04.138, 0, 0, 8188, 45, 14.03
2026/09/12 00:40:34.233, 22, 139, 8188, 60, 21.63
2026/09/12 00:41:04.294, 0, 189, 8188, 57, 3.55
2026/09/12 00:41:34.351, 95, 4413, 8188, 62, 46.99
2026/09/12 00:42:04.410, 96, 4381, 8188, 66, 48.54
2026/09/12 00:42:34.946, 100, 4385, 8188, 67, 49.53
2026/09/12 00:43:05.229, 98, 4393, 8188, 68, 48.93
2026/09/12 00:43:35.295, 66, 4397, 8188, 68, 43.72
2026/09/12 00:44:05.360, 97, 4409, 8188, 69, 49.50
2026/09/12 00:44:35.453, 97, 761, 8188, 70, 47.93
2026/09/12 00:45:05.747, 99, 4381, 8188, 70, 44.87
2026/09/12 00:45:35.802, 83, 4385, 8188, 70, 48.71
2026/09/12 00:46:05.864, 99, 4413, 8188, 71, 59.41
2026/09/12 00:46:35.919, 99, 4393, 8188, 72, 56.30
2026/09/12 00:47:05.981, 96, 4381, 8188, 71, 48.22
2026/09/12 00:47:36.037, 98, 4381, 8188, 71, 50.07
2026/09/12 00:48:06.094, 88, 4405, 8188, 71, 44.29
2026/09/12 00:48:36.269, 99, 4413, 8188, 71, 49.51
2026/09/12 00:49:06.333, 96, 4381, 8188, 70, 41.36
2026/09/12 00:49:36.397, 96, 4381, 8188, 71, 48.98
2026/09/12 00:50:06.460, 98, 4385, 8188, 71, 46.76
2026/09/12 00:50:36.518, 98, 4441, 8188, 71, 48.05
2026/09/12 00:51:06.730, 96, 4381, 8188, 72, 53.24
2026/09/12 00:51:36.807, 97, 4393, 8188, 71, 44.25
2026/09/12 00:52:07.091, 98, 4415, 8188, 71, 49.72
2026/09/12 00:52:37.156, 96, 4606, 8188, 74, 44.62
2026/09/12 00:53:07.220, 96, 7232, 8188, 74, 44.74
2026/09/12 00:53:37.323, 99, 4758, 8188, 76, 44.95
2026/09/12 01:24:54.783, 0, 0, 8188, 53, 14.05
2026/09/12 01:25:24.845, 2, 177, 8188, 64, 32.27
2026/09/12 01:25:54.930, 20, 201, 8188, 65, 21.98
2026/09/12 01:28:11.643, 0, 0, 8188, 48, 13.80
2026/09/12 01:28:41.704, 19, 177, 8188, 62, 17.20
2026/09/12 01:29:11.787, 35, 371, 8188, 64, 17.36
